"country_name","year","avg_turbidity","avg_ph","avg_dissolved_oxygen","avg_sanitation_coverage","avg_healthcare_access","risk_score"
"Brazil",2015,"2.89","7.24","6.06","72.16","45.69","15.29"
"Brazil",2016,"2.56","7.59","7.10","60.32","40.74","15.95"
"Brazil",2017,"2.42","7.48","5.60","64.21","41.71","16.71"
"Brazil",2018,"3.26","7.27","6.00","54.92","64.47","15.60"
"Brazil",2019,"2.53","7.25","6.53","67.54","55.48","13.96"
"Brazil",2020,"2.45","7.11","6.41","56.94","42.12","16.24"
"Brazil",2021,"3.33","7.16","6.12","58.58","45.98","16.91"
"Brazil",2022,"2.64","7.23","6.57","53.55","48.67","16.08"
"Brazil",2023,"3.48","7.27","6.75","68.57","41.29","16.01"
"Brazil",2024,"1.91","7.40","7.12","63.84","40.32","14.77"
"China",2000,"1.94","7.24","6.36","67.21","53.99","13.70"
"China",2001,"2.41","7.06","7.38","59.92","46.24","14.48"
"China",2002,"2.01","7.02","6.59","57.58","33.46","16.33"
"China",2003,"2.30","7.45","6.77","61.47","53.59","14.47"
"China",2004,"2.29","7.28","7.30","61.43","55.55","13.58"
"China",2005,"2.22","7.43","6.13","58.72","57.94","14.85"
"China",2006,"2.64","7.02","6.42","66.96","55.80","13.97"
"China",2007,"2.04","7.43","5.82","66.71","44.47","15.53"
"China",2008,"2.48","7.00","6.54","54.68","46.20","15.85"
"China",2009,"2.57","7.03","6.18","63.52","37.58","16.31"
"China",2010,"2.57","7.15","7.06","53.03","43.39","16.03"
"China",2011,"2.62","7.32","6.50","55.41","35.34","17.36"
"China",2012,"2.67","7.44","7.68","49.54","60.62","14.42"
"China",2013,"2.27","7.37","7.02","56.89","45.31","15.40"
"China",2014,"2.47","7.58","7.48","68.79","51.27","13.57"
"China",2015,"2.56","7.54","6.72","72.33","52.31","13.91"
"China",2016,"2.44","7.37","5.71","64.75","53.68","15.26"
"China",2017,"2.86","7.36","6.97","74.47","63.98","12.40"
"China",2018,"1.91","7.08","6.23","58.37","52.73","14.65"
"China",2019,"2.19","6.86","6.72","72.73","62.78","12.05"
"China",2020,"3.15","7.12","6.95","61.32","43.25","15.86"
"China",2021,"2.41","7.24","6.12","58.79","51.66","15.49"
"China",2022,"2.57","7.09","6.39","65.60","58.08","13.91"
"China",2023,"2.47","7.49","6.85","78.95","42.15","14.00"
"China",2024,"2.52","7.26","6.90","63.88","34.11","16.08"
"Ethiopia",2000,"2.73","7.27","6.56","56.76","49.96","15.77"
"Ethiopia",2001,"2.21","7.60","6.26","58.41","44.85","16.23"
"Ethiopia",2002,"2.56","7.05","7.60","68.61","60.89","12.06"
"Ethiopia",2003,"2.69","7.74","5.63","54.13","41.06","18.29"
"Ethiopia",2004,"2.77","7.61","6.96","52.53","67.55","14.41"
"Ethiopia",2005,"3.03","7.19","6.85","63.98","34.46","16.52"
"Ethiopia",2006,"2.44","7.11","6.19","61.60","51.17","15.09"
"Ethiopia",2007,"2.19","7.61","5.99","75.11","32.14","16.09"
"Ethiopia",2008,"2.04","6.56","6.09","52.67","60.02","15.12"
"Ethiopia",2009,"2.30","7.30","7.50","60.12","45.99","14.48"
"Ethiopia",2010,"2.64","7.31","6.31","54.41","46.44","16.55"
"Ethiopia",2011,"2.19","7.34","7.09","59.37","51.09","14.40"
"Ethiopia",2012,"2.10","7.03","6.53","62.71","53.90","13.94"
"Ethiopia",2013,"2.48","7.10","7.14","56.69","39.96","15.77"
"Ethiopia",2014,"2.18","6.86","5.95","63.56","61.54","13.87"
"Ethiopia",2015,"2.65","7.65","7.21","54.21","37.94","16.87"
"Ethiopia",2016,"2.82","7.04","6.14","73.08","58.65","13.54"
"Ethiopia",2017,"2.62","7.07","6.78","55.15","44.72","15.92"
"Ethiopia",2018,"2.05","7.41","6.21","58.33","56.98","14.72"
"Ethiopia",2019,"2.47","7.11","5.49","62.14","53.70","15.51"
"Ethiopia",2020,"3.11","7.35","6.80","51.93","43.70","17.09"
"Ethiopia",2021,"2.24","7.39","6.04","55.92","47.46","16.25"
"Ethiopia",2022,"1.46","7.22","6.50","60.16","58.39","13.33"
"Ethiopia",2023,"2.90","7.65","6.12","61.90","41.73","17.07"
"Ethiopia",2024,"2.20","6.94","6.21","72.74","50.64","13.71"
"India",2000,"1.94","7.19","6.60","65.52","44.12","14.57"
"India",2001,"2.40","7.20","6.59","51.57","44.28","16.42"
"India",2002,"2.37","7.20","5.93","61.88","40.87","16.36"
"India",2003,"1.50","6.90","6.29","62.44","51.69","13.90"
"India",2004,"2.13","7.02","6.95","52.63","53.58","14.58"
"India",2005,"2.78","7.24","6.29","67.08","46.86","15.34"
"India",2006,"2.90","6.92","6.60","49.36","57.50","15.70"
"India",2007,"3.08","7.05","5.12","73.88","58.52","14.77"
"India",2008,"2.33","7.70","6.77","65.42","35.42","16.17"
"India",2009,"2.36","7.52","6.35","53.31","63.77","14.82"
"India",2010,"2.71","7.09","6.55","44.90","53.08","16.44"
"India",2011,"2.34","7.38","5.76","64.19","49.89","15.56"
"India",2012,"3.33","7.27","6.99","85.13","71.32","10.97"
"India",2013,"2.51","7.43","6.93","65.66","53.78","14.06"
"India",2014,"2.14","7.37","7.92","74.54","40.34","13.10"
"India",2015,"2.99","7.35","7.09","55.37","42.28","16.48"
"India",2016,"2.15","7.17","5.52","54.83","62.25","15.09"
"India",2017,"2.14","7.46","7.30","53.78","40.44","15.88"
"India",2018,"2.54","7.33","6.52","51.00","55.65","15.69"
"India",2019,"2.65","7.36","5.67","60.51","43.51","16.93"
"India",2020,"2.50","7.15","6.02","71.16","37.64","15.76"
"India",2021,"2.43","7.26","6.89","59.72","54.33","14.40"
"India",2022,"2.42","7.32","6.75","58.40","52.43","14.90"
"India",2023,"1.79","7.15","5.76","58.95","64.86","13.80"
"India",2024,"2.12","6.98","5.68","67.54","44.68","15.23"
"Indonesia",2000,"1.71","7.18","6.08","58.12","38.22","16.17"
"Indonesia",2001,"2.54","7.46","6.85","66.47","63.71","13.13"
"Indonesia",2002,"2.18","7.12","6.63","58.93","49.81","14.80"
"Indonesia",2003,"3.15","7.50","7.45","62.41","51.25","14.83"
"Indonesia",2004,"3.03","7.28","6.47","65.00","38.57","16.48"
"Indonesia",2005,"2.76","7.27","6.39","62.15","51.46","15.28"
"Indonesia",2006,"2.88","7.09","6.92","64.12","50.91","14.55"
"Indonesia",2007,"2.79","7.49","5.17","53.35","64.75","16.31"
"Indonesia",2008,"2.48","7.42","5.90","74.89","71.52","12.36"
"Indonesia",2009,"3.03","7.61","7.53","65.46","62.60","13.29"
"Indonesia",2010,"2.48","7.35","7.05","60.35","51.38","14.60"
"Indonesia",2011,"1.41","7.29","7.28","55.55","56.28","13.24"
"Indonesia",2012,"2.04","7.83","6.52","50.57","39.08","17.39"
"Indonesia",2013,"3.41","7.22","6.21","64.32","68.78","14.10"
"Indonesia",2014,"2.45","7.30","6.72","59.54","39.26","16.15"
"Indonesia",2015,"1.86","7.00","6.60","59.93","62.77","13.00"
"Indonesia",2016,"1.30","7.36","6.80","61.10","42.02","14.54"
"Indonesia",2017,"2.76","7.03","7.50","52.67","34.97","16.53"
"Indonesia",2018,"2.73","7.17","5.70","66.56","53.54","15.19"
"Indonesia",2019,"2.18","7.13","6.60","52.10","47.70","15.73"
"Indonesia",2020,"3.10","7.08","6.28","60.37","55.68","15.30"
"Indonesia",2021,"2.33","7.05","5.85","49.29","48.56","16.75"
"Indonesia",2022,"2.50","7.21","6.67","59.63","39.76","16.10"
"Indonesia",2023,"2.29","7.19","5.90","53.92","38.90","17.30"
"Indonesia",2024,"1.86","7.69","6.10","66.03","47.81","15.07"
"Mexico",2000,"2.13","7.30","5.68","57.74","50.84","15.89"
"Mexico",2001,"2.35","7.26","6.83","56.84","53.78","14.72"
"Mexico",2002,"2.40","7.49","7.70","50.64","40.21","16.10"
"Mexico",2003,"2.44","7.51","6.13","56.78","51.15","16.03"
"Mexico",2004,"1.79","7.65","6.70","53.80","60.63","14.29"
"Mexico",2005,"2.94","7.58","5.48","59.25","50.70","17.05"
"Mexico",2006,"2.84","6.91","6.97","61.79","49.76","14.80"
"Mexico",2007,"2.09","7.31","5.99","52.20","53.09","15.89"
"Mexico",2008,"2.78","7.13","5.57","46.39","50.57","17.64"
"Mexico",2009,"2.48","7.21","6.23","63.66","70.01","13.09"
"Mexico",2010,"2.35","7.30","5.78","56.39","55.14","15.72"
"Mexico",2011,"3.73","7.43","6.97","65.76","30.15","17.60"
"Mexico",2012,"3.12","7.48","6.12","59.73","54.37","16.07"
"Mexico",2013,"2.45","7.33","5.90","57.46","42.87","16.85"
"Mexico",2014,"2.46","7.56","7.15","48.25","44.85","16.57"
"Mexico",2015,"2.21","7.23","7.32","58.29","56.77","13.62"
"Mexico",2016,"3.03","7.18","7.03","66.51","56.63","13.87"
"Mexico",2017,"2.34","7.35","5.98","57.17","45.42","16.45"
"Mexico",2018,"2.99","6.65","5.81","64.86","37.01","17.34"
"Mexico",2019,"2.31","7.39","6.50","63.52","42.44","15.59"
"Mexico",2020,"2.76","7.51","6.96","47.50","71.30","14.43"
"Mexico",2021,"2.22","6.88","6.68","49.63","52.92","15.40"
"Mexico",2022,"2.68","7.23","5.59","53.37","51.76","16.81"
"Mexico",2023,"2.31","6.80","5.99","47.72","46.36","17.12"
"Mexico",2024,"1.75","7.45","7.37","66.49","41.22","14.06"
"Nigeria",2000,"1.91","7.56","6.38","76.18","56.47","12.83"
"Nigeria",2001,"2.85","7.21","5.77","52.88","52.05","16.79"
"Nigeria",2002,"3.65","7.39","6.58","59.46","54.92","16.03"
"Nigeria",2003,"2.44","7.14","6.01","69.10","47.22","14.94"
"Nigeria",2004,"2.53","7.25","6.43","67.93","63.14","13.23"
"Nigeria",2005,"2.34","6.92","6.18","57.77","62.67","14.19"
"Nigeria",2006,"2.30","7.26","6.03","54.31","52.51","15.85"
"Nigeria",2007,"2.77","6.81","6.09","74.18","59.99","13.45"
"Nigeria",2008,"1.89","6.92","5.97","56.01","58.94","14.51"
"Nigeria",2009,"2.13","6.97","5.95","58.00","34.32","16.97"
"Nigeria",2010,"2.01","7.68","4.83","66.04","44.82","16.77"
"Nigeria",2011,"2.32","7.27","6.33","59.25","61.30","14.19"
"Nigeria",2012,"2.62","7.26","5.86","61.86","55.64","15.27"
"Nigeria",2013,"1.35","7.18","6.04","61.23","55.67","13.80"
"Nigeria",2014,"2.71","6.71","6.61","65.19","48.66","15.01"
"Nigeria",2015,"2.24","7.37","6.42","52.22","59.85","14.98"
"Nigeria",2016,"2.38","7.36","5.69","57.93","45.01","16.75"
"Nigeria",2017,"2.63","7.34","6.20","60.81","41.89","16.50"
"Nigeria",2018,"2.55","7.33","6.94","63.40","59.55","13.65"
"Nigeria",2019,"2.79","7.21","6.34","55.76","55.83","15.51"
"Nigeria",2020,"1.63","7.30","6.01","53.57","42.20","16.35"
"Nigeria",2021,"2.56","7.61","6.44","60.97","54.67","15.16"
"Nigeria",2022,"2.45","7.15","5.98","47.57","46.64","17.19"
"Nigeria",2023,"2.93","7.17","6.39","52.96","45.83","16.84"
"Nigeria",2024,"2.27","7.50","6.75","64.24","45.80","15.02"
"Pakistan",2000,"2.83","7.23","6.38","66.46","40.87","15.95"
"Pakistan",2001,"2.62","7.71","6.40","62.62","44.90","16.19"
"Pakistan",2002,"3.03","7.26","6.54","49.73","45.79","17.19"
"Pakistan",2003,"4.14","7.26","6.39","49.36","53.83","17.69"
"Pakistan",2004,"2.16","6.90","6.02","69.96","42.32","15.01"
"Pakistan",2005,"1.72","6.97","6.69","64.76","53.29","13.26"
"Pakistan",2006,"2.01","7.20","6.34","67.60","52.97","13.82"
"Pakistan",2007,"3.48","7.09","5.75","64.62","49.15","16.44"
"Pakistan",2008,"2.70","7.52","7.28","54.90","50.46","15.40"
"Pakistan",2009,"1.90","7.12","7.20","52.86","44.39","15.09"
"Pakistan",2010,"3.00","7.00","6.60","54.41","48.55","16.11"
"Pakistan",2011,"2.60","7.34","6.82","58.13","41.64","16.15"
"Pakistan",2012,"3.28","7.11","6.02","65.28","53.36","15.50"
"Pakistan",2013,"2.68","7.37","6.55","63.07","48.16","15.37"
"Pakistan",2014,"2.88","7.72","6.55","47.96","52.68","16.98"
"Pakistan",2015,"2.63","7.39","6.84","60.04","58.02","14.37"
"Pakistan",2016,"2.43","7.01","6.50","59.93","48.51","15.09"
"Pakistan",2017,"2.96","7.06","6.69","54.68","65.36","14.32"
"Pakistan",2018,"2.11","7.38","5.81","63.86","56.69","14.62"
"Pakistan",2019,"1.96","7.33","7.18","72.40","41.77","13.69"
"Pakistan",2020,"2.36","6.88","5.53","60.14","51.82","15.75"
"Pakistan",2021,"2.49","7.00","6.84","63.93","43.21","14.94"
"Pakistan",2022,"2.18","7.29","5.68","68.94","46.88","15.20"
"Pakistan",2023,"2.13","7.33","5.66","63.41","56.32","14.83"
"Pakistan",2024,"2.81","7.40","6.75","57.99","54.53","15.21"
"USA",2000,"2.97","7.08","5.99","56.11","49.80","16.46"
"USA",2001,"2.44","7.34","6.32","53.45","37.99","17.32"
"USA",2002,"2.91","7.34","7.37","72.09","43.66","14.30"
"USA",2003,"2.70","7.29","6.87","52.32","41.57","16.73"
"USA",2004,"1.98","7.12","5.99","52.45","48.18","16.05"
"USA",2005,"2.00","7.66","7.69","59.90","30.03","15.98"
"USA",2006,"2.91","7.09","6.32","62.93","51.38","15.25"
"USA",2007,"2.99","7.34","6.59","60.34","58.65","14.83"
"USA",2008,"2.22","7.27","7.18","63.75","35.34","15.40"
"USA",2009,"2.57","7.18","6.90","48.50","59.98","15.01"
"USA",2010,"2.22","7.39","6.39","50.97","46.06","16.51"
"USA",2011,"2.59","7.49","5.88","56.18","61.36","15.44"
"USA",2012,"2.17","7.22","7.20","62.05","42.77","14.71"
"USA",2013,"2.57","7.58","6.18","48.71","60.07","16.10"
"USA",2014,"2.04","6.94","7.20","56.98","53.33","13.87"
"USA",2015,"2.29","7.38","6.30","63.49","55.64","14.46"
"USA",2016,"3.11","7.16","7.05","58.38","37.51","16.63"
"USA",2017,"3.10","7.04","5.65","66.27","47.50","16.11"
"USA",2018,"2.49","7.07","6.38","53.38","63.40","14.50"
"USA",2019,"2.67","7.37","5.86","61.50","52.52","15.77"
"USA",2020,"2.55","7.18","6.31","60.80","47.83","15.57"
"USA",2021,"2.41","7.23","6.62","62.09","46.64","15.15"
"USA",2022,"3.12","7.60","8.29","52.55","66.60","13.51"
"USA",2023,"2.05","7.36","7.14","67.78","50.20","13.47"
"USA",2024,"2.76","7.04","7.68","64.46","65.35","12.13"
