"country_name","year","water_source_type","water_treatment","avg_bacterial_count","avg_clean_water_access","sample_count","effectiveness_score","trend_flag"
"Bangladesh",2010,"Pond","Boiling","2237.45","73.27","55","150.90","Worsening"
"Bangladesh",2011,"Pond","Boiling","2421.45","64.29","200","140.08","Worsening"
"Bangladesh",2015,"Pond","Boiling","1752.67","67.68","15","150.15","Improving"
"Bangladesh",2016,"Pond","Boiling","2265.92","31.73","65","109.07","Worsening"
"Bangladesh",2017,"Pond","Boiling","2415.13","79.81","75","155.66","Improving"
"Bangladesh",2020,"Pond","Boiling","2864.91","57.03","55","128.38","Worsening"
"Bangladesh",2022,"Pond","Boiling","2174.59","70.23","85","148.48","Improving"
"Bangladesh",2023,"Pond","Boiling","2443.00","72.53","85","148.10","Stable"
"Bangladesh",2024,"Pond","Boiling","3191.43","86.63","35","154.72","Improving"
"Bangladesh",2001,"Pond","Chlorination","2094.50","83.18","160","162.24","N/A"
"Bangladesh",2004,"Pond","Chlorination","2837.60","75.84","100","147.46","Worsening"
"Bangladesh",2005,"Pond","Chlorination","2867.53","63.74","170","135.06","Worsening"
"Bangladesh",2013,"Pond","Chlorination","1966.00","63.46","120","143.80","Improving"
"Bangladesh",2014,"Pond","Chlorination","2523.50","89.28","60","164.05","Improving"
"Bangladesh",2017,"Pond","Chlorination","2415.13","68.89","75","144.74","Worsening"
"Bangladesh",2023,"Pond","Chlorination","2443.00","54.50","85","130.07","Worsening"
"Bangladesh",2001,"Pond","Filtration","2094.50","41.84","160","120.90","N/A"
"Bangladesh",2005,"Pond","Filtration","2867.53","87.43","85","158.75","Improving"
"Bangladesh",2009,"Pond","Filtration","2546.46","69.92","65","144.46","Worsening"
"Bangladesh",2011,"Pond","Filtration","2421.45","62.38","100","138.17","Worsening"
"Bangladesh",2012,"Pond","Filtration","2946.93","66.36","70","136.89","Worsening"
"Bangladesh",2013,"Pond","Filtration","1966.00","99.91","60","180.25","Improving"
"Bangladesh",2018,"Pond","Filtration","2311.45","89.61","55","166.50","Worsening"
"Bangladesh",2023,"Pond","Filtration","2443.00","40.57","85","116.14","Worsening"
"Bangladesh",2001,"River","Boiling","2094.50","91.96","80","171.02","N/A"
"Bangladesh",2007,"River","Boiling","2502.22","79.40","45","154.38","Worsening"
"Bangladesh",2010,"River","Boiling","2237.45","59.15","55","136.78","Worsening"
"Bangladesh",2011,"River","Boiling","2421.45","30.08","100","105.87","Worsening"
"Bangladesh",2013,"River","Boiling","1966.00","74.27","180","154.61","Improving"
"Bangladesh",2015,"River","Boiling","1752.67","31.55","15","114.02","Worsening"
"Bangladesh",2016,"River","Boiling","2265.92","79.34","65","156.68","Improving"
"Bangladesh",2018,"River","Boiling","2311.45","45.02","55","121.91","Worsening"
"Bangladesh",2021,"River","Boiling","2101.62","76.40","65","155.38","Improving"
"Bangladesh",2022,"River","Boiling","2174.59","37.68","85","115.93","Worsening"
"Bangladesh",2023,"River","Boiling","2443.00","75.81","85","151.38","Improving"
"Bangladesh",2000,"River","Chlorination","2876.67","52.34","30","123.57","N/A"
"Bangladesh",2001,"River","Chlorination","2094.50","60.32","80","139.38","Improving"
"Bangladesh",2004,"River","Chlorination","2837.60","39.48","50","111.10","Worsening"
"Bangladesh",2006,"River","Chlorination","2394.86","53.00","70","129.05","Improving"
"Bangladesh",2008,"River","Chlorination","2151.11","99.08","45","177.57","Improving"
"Bangladesh",2009,"River","Chlorination","2546.46","35.94","65","110.48","Worsening"
"Bangladesh",2010,"River","Chlorination","2237.45","61.43","55","139.06","Improving"
"Bangladesh",2011,"River","Chlorination","2421.45","74.00","200","149.79","Improving"
"Bangladesh",2012,"River","Chlorination","2946.93","67.65","70","138.18","Worsening"
"Bangladesh",2016,"River","Chlorination","2265.92","79.92","130","157.26","Improving"
"Bangladesh",2019,"River","Chlorination","2765.90","51.78","50","124.12","Worsening"
"Bangladesh",2023,"River","Chlorination","2443.00","61.80","85","137.37","Improving"
"Bangladesh",2002,"River","Filtration","2812.00","43.73","80","115.61","N/A"
"Bangladesh",2003,"River","Filtration","3258.56","81.48","45","148.89","Improving"
"Bangladesh",2006,"River","Filtration","2394.86","72.98","140","149.03","Stable"
"Bangladesh",2009,"River","Filtration","2546.46","58.62","65","133.16","Worsening"
"Bangladesh",2012,"River","Filtration","2946.93","78.65","70","149.18","Improving"
"Bangladesh",2013,"River","Filtration","1966.00","31.91","60","112.25","Worsening"
"Bangladesh",2016,"River","Filtration","2265.92","38.90","65","116.24","Improving"
"Bangladesh",2017,"River","Filtration","2415.13","53.13","150","128.98","Improving"
"Bangladesh",2018,"River","Filtration","2311.45","92.94","55","169.83","Improving"
"Bangladesh",2022,"River","Filtration","2174.59","56.59","255","134.84","Worsening"
"Bangladesh",2000,"Spring","Boiling","2876.67","65.86","60","137.09","N/A"
"Bangladesh",2007,"Spring","Boiling","2502.22","93.73","45","168.71","Improving"
"Bangladesh",2008,"Spring","Boiling","2151.11","90.69","45","169.18","Stable"
"Bangladesh",2011,"Spring","Boiling","2421.45","31.41","100","107.20","Worsening"
"Bangladesh",2014,"Spring","Boiling","2523.50","87.42","30","162.19","Improving"
"Bangladesh",2016,"Spring","Boiling","2265.92","45.50","195","122.84","Worsening"
"Bangladesh",2018,"Spring","Boiling","2311.45","71.57","55","148.46","Improving"
"Bangladesh",2019,"Spring","Boiling","2765.90","93.75","50","166.09","Improving"
"Bangladesh",2020,"Spring","Boiling","2864.91","62.78","110","134.13","Worsening"
"Bangladesh",2021,"Spring","Boiling","2101.62","47.91","195","126.89","Worsening"
"Bangladesh",2022,"Spring","Boiling","2174.59","77.97","170","156.22","Improving"
"Bangladesh",2001,"Spring","Chlorination","2094.50","51.78","80","130.84","N/A"
"Bangladesh",2005,"Spring","Chlorination","2867.53","76.00","255","147.32","Improving"
"Bangladesh",2009,"Spring","Chlorination","2546.46","65.56","65","140.10","Worsening"
"Bangladesh",2010,"Spring","Chlorination","2237.45","52.02","55","129.65","Worsening"
"Bangladesh",2011,"Spring","Chlorination","2421.45","86.81","200","162.60","Improving"
"Bangladesh",2014,"Spring","Chlorination","2523.50","77.81","60","152.58","Worsening"
"Bangladesh",2016,"Spring","Chlorination","2265.92","48.68","65","126.02","Worsening"
"Bangladesh",2017,"Spring","Chlorination","2415.13","68.39","75","144.24","Improving"
"Bangladesh",2019,"Spring","Chlorination","2765.90","76.86","50","149.20","Improving"
"Bangladesh",2023,"Spring","Chlorination","2443.00","68.32","85","143.89","Worsening"
"Bangladesh",2002,"Spring","Filtration","2812.00","44.55","40","116.43","N/A"
"Bangladesh",2004,"Spring","Filtration","2837.60","45.69","50","117.31","Stable"
"Bangladesh",2005,"Spring","Filtration","2867.53","60.26","85","131.58","Improving"
"Bangladesh",2007,"Spring","Filtration","2502.22","43.66","45","118.64","Worsening"
"Bangladesh",2010,"Spring","Filtration","2237.45","50.67","55","128.30","Improving"
"Bangladesh",2013,"Spring","Filtration","1966.00","44.54","60","124.88","Worsening"
"Bangladesh",2019,"Spring","Filtration","2765.90","53.12","50","125.46","Stable"
"Bangladesh",2020,"Spring","Filtration","2864.91","31.03","55","102.38","Worsening"
"Bangladesh",2022,"Spring","Filtration","2174.59","54.94","170","133.19","Improving"
"Bangladesh",2023,"Spring","Filtration","2443.00","80.99","85","156.56","Improving"
"Bangladesh",2024,"Spring","Filtration","3191.43","95.18","35","163.27","Improving"
"Bangladesh",2001,"Tap","Boiling","2094.50","36.40","80","115.46","N/A"
"Bangladesh",2002,"Tap","Boiling","2812.00","83.94","40","155.82","Improving"
"Bangladesh",2003,"Tap","Boiling","3258.56","70.24","45","137.65","Worsening"
"Bangladesh",2004,"Tap","Boiling","2837.60","53.80","100","125.42","Worsening"
"Bangladesh",2005,"Tap","Boiling","2867.53","83.00","85","154.32","Improving"
"Bangladesh",2006,"Tap","Boiling","2394.86","89.23","70","165.28","Improving"
"Bangladesh",2009,"Tap","Boiling","2546.46","80.21","65","154.75","Worsening"
"Bangladesh",2011,"Tap","Boiling","2421.45","39.29","100","115.08","Worsening"
"Bangladesh",2022,"Tap","Boiling","2174.59","43.05","85","121.30","Improving"
"Bangladesh",2024,"Tap","Boiling","3191.43","88.81","70","156.90","Improving"
"Bangladesh",2006,"Tap","Chlorination","2394.86","92.58","70","168.63","N/A"
"Bangladesh",2007,"Tap","Chlorination","2502.22","36.07","45","111.05","Worsening"
"Bangladesh",2009,"Tap","Chlorination","2546.46","48.73","65","123.27","Improving"
"Bangladesh",2012,"Tap","Chlorination","2946.93","51.46","210","121.99","Worsening"
"Bangladesh",2014,"Tap","Chlorination","2523.50","93.11","30","167.88","Improving"
"Bangladesh",2017,"Tap","Chlorination","2415.13","32.40","75","108.25","Worsening"
"Bangladesh",2018,"Tap","Chlorination","2311.45","67.41","110","144.30","Improving"
"Bangladesh",2000,"Tap","Filtration","2876.67","65.81","30","137.04","N/A"
"Bangladesh",2005,"Tap","Filtration","2867.53","38.96","85","110.28","Worsening"
"Bangladesh",2006,"Tap","Filtration","2394.86","48.80","140","124.85","Improving"
"Bangladesh",2008,"Tap","Filtration","2151.11","69.46","45","147.95","Improving"
"Bangladesh",2009,"Tap","Filtration","2546.46","47.74","65","122.28","Worsening"
"Bangladesh",2011,"Tap","Filtration","2421.45","89.81","200","165.60","Improving"
"Bangladesh",2013,"Tap","Filtration","1966.00","37.91","60","118.25","Worsening"
"Bangladesh",2016,"Tap","Filtration","2265.92","51.79","65","129.13","Improving"
"Bangladesh",2021,"Tap","Filtration","2101.62","60.80","195","139.78","Improving"
"Bangladesh",2023,"Tap","Filtration","2443.00","63.46","170","139.03","Stable"
"Bangladesh",2006,"Well","Boiling","2394.86","83.42","70","159.47","N/A"
"Bangladesh",2010,"Well","Boiling","2237.45","34.47","55","112.10","Worsening"
"Bangladesh",2020,"Well","Boiling","2864.91","58.51","55","129.86","Improving"
"Bangladesh",2022,"Well","Boiling","2174.59","43.66","85","121.91","Worsening"
"Bangladesh",2023,"Well","Boiling","2443.00","52.78","340","128.35","Improving"
"Bangladesh",2001,"Well","Chlorination","2094.50","63.01","160","142.07","N/A"
"Bangladesh",2005,"Well","Chlorination","2867.53","77.01","85","148.33","Improving"
"Bangladesh",2006,"Well","Chlorination","2394.86","62.94","70","138.99","Worsening"
"Bangladesh",2007,"Well","Chlorination","2502.22","42.80","45","117.78","Worsening"
"Bangladesh",2011,"Well","Chlorination","2421.45","78.54","100","154.33","Improving"
"Bangladesh",2012,"Well","Chlorination","2946.93","38.43","70","108.96","Worsening"
"Bangladesh",2017,"Well","Chlorination","2415.13","78.48","75","154.33","Improving"
"Bangladesh",2021,"Well","Chlorination","2101.62","86.11","65","165.09","Improving"
"Bangladesh",2022,"Well","Chlorination","2174.59","87.24","170","165.49","Stable"
"Bangladesh",2000,"Well","Filtration","2876.67","66.37","30","137.60","N/A"
"Bangladesh",2001,"Well","Filtration","2094.50","54.90","80","133.96","Worsening"
"Bangladesh",2002,"Well","Filtration","2812.00","68.08","40","139.96","Improving"
"Bangladesh",2003,"Well","Filtration","3258.56","75.21","45","142.62","Improving"
"Bangladesh",2004,"Well","Filtration","2837.60","51.20","50","122.82","Worsening"
"Bangladesh",2010,"Well","Filtration","2237.45","57.36","110","134.99","Improving"
"Bangladesh",2011,"Well","Filtration","2421.45","70.23","200","146.02","Improving"
"Bangladesh",2017,"Well","Filtration","2415.13","74.53","75","150.38","Improving"
"Bangladesh",2020,"Well","Filtration","2864.91","51.15","55","122.50","Worsening"
"Brazil",2002,"Lake","Boiling","1803.17","85.16","30","167.13","N/A"
"Brazil",2004,"Lake","Boiling","2376.83","91.37","60","167.60","Stable"
"Brazil",2005,"Lake","Boiling","2250.78","46.08","45","123.57","Worsening"
"Brazil",2006,"Lake","Boiling","2000.42","44.83","60","124.83","Improving"
"Brazil",2009,"Lake","Boiling","2915.58","33.88","60","104.72","Worsening"
"Brazil",2011,"Lake","Boiling","3076.94","49.84","80","119.07","Improving"
"Brazil",2013,"Lake","Boiling","2437.73","58.54","55","134.16","Improving"
"Brazil",2014,"Lake","Boiling","2652.50","85.65","50","159.13","Improving"
"Brazil",2016,"Lake","Boiling","2063.14","77.00","330","156.37","Worsening"
"Brazil",2022,"Lake","Boiling","2462.95","77.72","100","153.09","Worsening"
"Brazil",2001,"Lake","Chlorination","2610.25","33.44","40","107.34","N/A"
"Brazil",2005,"Lake","Chlorination","2250.78","30.53","45","108.02","Stable"
"Brazil",2009,"Lake","Chlorination","2915.58","75.23","120","146.07","Improving"
"Brazil",2010,"Lake","Chlorination","2625.50","58.87","40","132.62","Worsening"
"Brazil",2011,"Lake","Chlorination","3076.94","50.63","80","119.86","Worsening"
"Brazil",2012,"Lake","Chlorination","2011.13","82.69","80","162.58","Improving"
"Brazil",2014,"Lake","Chlorination","2652.50","45.61","50","119.09","Worsening"
"Brazil",2015,"Lake","Chlorination","2552.21","88.75","70","163.23","Improving"
"Brazil",2016,"Lake","Chlorination","2063.14","71.52","220","150.89","Worsening"
"Brazil",2019,"Lake","Chlorination","1870.57","68.04","35","149.33","Worsening"
"Brazil",2004,"Lake","Filtration","2376.83","44.66","120","120.89","N/A"
"Brazil",2005,"Lake","Filtration","2250.78","78.46","90","155.95","Improving"
"Brazil",2008,"Lake","Filtration","2770.09","39.84","55","112.14","Worsening"
"Brazil",2017,"Lake","Filtration","1761.13","56.69","75","139.08","Improving"
"Brazil",2021,"Lake","Filtration","2464.43","36.09","70","111.45","Worsening"
"Brazil",2022,"Lake","Filtration","2462.95","32.98","100","108.35","Worsening"
"Brazil",2023,"Lake","Filtration","2386.73","41.17","150","117.30","Improving"
"Brazil",2007,"Pond","Boiling","2233.75","72.70","40","150.36","N/A"
"Brazil",2008,"Pond","Boiling","2770.09","60.11","55","132.41","Worsening"
"Brazil",2010,"Pond","Boiling","2625.50","65.03","40","138.78","Improving"
"Brazil",2011,"Pond","Boiling","3076.94","88.46","80","157.69","Improving"
"Brazil",2012,"Pond","Boiling","2011.13","59.59","80","139.48","Worsening"
"Brazil",2013,"Pond","Boiling","2437.73","75.92","55","151.54","Improving"
"Brazil",2016,"Pond","Boiling","2063.14","81.18","220","160.55","Improving"
"Brazil",2024,"Pond","Boiling","2987.42","45.65","120","115.78","Worsening"
"Brazil",2012,"Pond","Chlorination","2011.13","70.52","240","150.41","N/A"
"Brazil",2014,"Pond","Chlorination","2652.50","60.83","50","134.31","Worsening"
"Brazil",2022,"Pond","Chlorination","2462.95","89.74","200","165.11","Improving"
"Brazil",2023,"Pond","Chlorination","2386.73","92.02","75","168.15","Improving"
"Brazil",2004,"Pond","Filtration","2376.83","86.46","60","162.69","N/A"
"Brazil",2006,"Pond","Filtration","2000.42","57.08","60","137.08","Worsening"
"Brazil",2008,"Pond","Filtration","2770.09","57.20","55","129.50","Worsening"
"Brazil",2012,"Pond","Filtration","2011.13","81.48","80","161.37","Improving"
"Brazil",2014,"Pond","Filtration","2652.50","86.08","50","159.56","Worsening"
"Brazil",2016,"Pond","Filtration","2063.14","36.00","220","115.37","Worsening"
"Brazil",2017,"Pond","Filtration","1761.13","41.39","75","123.78","Improving"
"Brazil",2022,"Pond","Filtration","2462.95","55.64","200","131.01","Improving"
"Brazil",2024,"Pond","Filtration","2987.42","91.55","60","161.68","Improving"
"Brazil",2003,"River","Boiling","3318.38","54.51","80","121.33","N/A"
"Brazil",2006,"River","Boiling","2000.42","87.66","60","167.66","Improving"
"Brazil",2007,"River","Boiling","2233.75","56.12","40","133.78","Worsening"
"Brazil",2010,"River","Boiling","2625.50","60.79","80","134.54","Stable"
"Brazil",2012,"River","Boiling","2011.13","41.67","80","121.56","Worsening"
"Brazil",2013,"River","Boiling","2437.73","90.89","55","166.51","Improving"
"Brazil",2014,"River","Boiling","2652.50","62.00","50","135.48","Worsening"
"Brazil",2015,"River","Boiling","2552.21","72.59","140","147.07","Improving"
"Brazil",2018,"River","Boiling","2367.13","40.72","40","117.05","Worsening"
"Brazil",2019,"River","Boiling","1870.57","62.42","35","143.71","Improving"
"Brazil",2021,"River","Boiling","2464.43","48.03","70","123.39","Worsening"
"Brazil",2006,"River","Chlorination","2000.42","95.45","60","175.45","N/A"
"Brazil",2011,"River","Chlorination","3076.94","33.57","80","102.80","Worsening"
"Brazil",2015,"River","Chlorination","2552.21","47.15","140","121.63","Improving"
"Brazil",2020,"River","Chlorination","1457.29","95.98","35","181.41","Improving"
"Brazil",2022,"River","Chlorination","2462.95","80.32","100","155.69","Worsening"
"Brazil",2024,"River","Chlorination","2987.42","91.24","60","161.37","Improving"
"Brazil",2000,"River","Filtration","2661.20","52.32","50","125.71","N/A"
"Brazil",2001,"River","Filtration","2610.25","60.88","80","134.78","Improving"
"Brazil",2005,"River","Filtration","2250.78","57.09","45","134.58","Stable"
"Brazil",2014,"River","Filtration","2652.50","92.26","50","165.74","Improving"
"Brazil",2015,"River","Filtration","2552.21","32.99","70","107.47","Worsening"
"Brazil",2016,"River","Filtration","2063.14","62.25","220","141.62","Improving"
"Brazil",2018,"River","Filtration","2367.13","61.92","80","138.25","Worsening"
"Brazil",2019,"River","Filtration","1870.57","99.25","35","180.54","Improving"
"Brazil",2021,"River","Filtration","2464.43","51.34","70","126.70","Worsening"
"Brazil",2022,"River","Filtration","2462.95","67.73","200","143.10","Improving"
"Brazil",2024,"River","Filtration","2987.42","64.51","120","134.64","Worsening"
"Brazil",2004,"Spring","Boiling","2376.83","30.12","60","106.35","N/A"
"Brazil",2005,"Spring","Boiling","2250.78","48.75","45","126.24","Improving"
"Brazil",2008,"Spring","Boiling","2770.09","65.05","165","137.35","Improving"
"Brazil",2011,"Spring","Boiling","3076.94","93.23","80","162.46","Improving"
"Brazil",2012,"Spring","Boiling","2011.13","93.39","80","173.28","Improving"
"Brazil",2017,"Spring","Boiling","1761.13","47.45","75","129.84","Worsening"
"Brazil",2022,"Spring","Boiling","2462.95","42.46","100","117.83","Worsening"
"Brazil",2000,"Spring","Chlorination","2661.20","67.85","50","141.24","N/A"
"Brazil",2001,"Spring","Chlorination","2610.25","37.83","40","111.73","Worsening"
"Brazil",2002,"Spring","Chlorination","1803.17","67.21","30","149.18","Improving"
"Brazil",2004,"Spring","Chlorination","2376.83","60.66","60","136.89","Worsening"
"Brazil",2006,"Spring","Chlorination","2000.42","76.76","120","156.76","Improving"
"Brazil",2008,"Spring","Chlorination","2770.09","55.45","110","127.75","Worsening"
"Brazil",2010,"Spring","Chlorination","2625.50","95.97","40","169.72","Improving"
"Brazil",2011,"Spring","Chlorination","3076.94","71.60","160","140.83","Worsening"
"Brazil",2012,"Spring","Chlorination","2011.13","61.65","160","141.54","Stable"
"Brazil",2015,"Spring","Chlorination","2552.21","67.43","70","141.91","Stable"
"Brazil",2016,"Spring","Chlorination","2063.14","40.02","110","119.39","Worsening"
"Brazil",2017,"Spring","Chlorination","1761.13","81.95","75","164.34","Improving"
"Brazil",2020,"Spring","Chlorination","1457.29","51.94","35","137.37","Worsening"
"Brazil",2022,"Spring","Chlorination","2462.95","72.10","300","147.47","Improving"
"Brazil",2002,"Spring","Filtration","1803.17","52.58","30","134.55","N/A"
"Brazil",2004,"Spring","Filtration","2376.83","67.66","60","143.89","Improving"
"Brazil",2006,"Spring","Filtration","2000.42","58.34","120","138.34","Worsening"
"Brazil",2009,"Spring","Filtration","2915.58","72.67","120","143.51","Improving"
"Brazil",2010,"Spring","Filtration","2625.50","46.12","40","119.87","Worsening"
"Brazil",2015,"Spring","Filtration","2552.21","92.52","70","167.00","Improving"
"Brazil",2017,"Spring","Filtration","1761.13","45.33","75","127.72","Worsening"
"Brazil",2018,"Spring","Filtration","2367.13","97.74","40","174.07","Improving"
"Brazil",2022,"Spring","Filtration","2462.95","53.65","100","129.02","Worsening"
"Brazil",2023,"Spring","Filtration","2386.73","82.69","150","158.82","Improving"
"Brazil",2000,"Tap","Boiling","2661.20","69.31","50","142.70","N/A"
"Brazil",2001,"Tap","Boiling","2610.25","54.96","40","128.86","Worsening"
"Brazil",2002,"Tap","Boiling","1803.17","80.65","30","162.62","Improving"
"Brazil",2004,"Tap","Boiling","2376.83","60.25","60","136.48","Worsening"
"Brazil",2005,"Tap","Boiling","2250.78","79.21","45","156.70","Improving"
"Brazil",2013,"Tap","Boiling","2437.73","39.92","55","115.54","Worsening"
"Brazil",2015,"Tap","Boiling","2552.21","40.10","70","114.58","Stable"
"Brazil",2019,"Tap","Boiling","1870.57","77.12","35","158.41","Improving"
"Brazil",2021,"Tap","Boiling","2464.43","45.79","70","121.15","Worsening"
"Brazil",2023,"Tap","Boiling","2386.73","72.34","225","148.47","Improving"
"Brazil",2000,"Tap","Chlorination","2661.20","68.04","150","141.43","N/A"
"Brazil",2003,"Tap","Chlorination","3318.38","67.38","40","134.20","Worsening"
"Brazil",2005,"Tap","Chlorination","2250.78","67.25","45","144.74","Improving"
"Brazil",2006,"Tap","Chlorination","2000.42","42.98","60","122.98","Worsening"
"Brazil",2007,"Tap","Chlorination","2233.75","65.22","40","142.88","Improving"
"Brazil",2008,"Tap","Chlorination","2770.09","71.11","55","143.41","Stable"
"Brazil",2014,"Tap","Chlorination","2652.50","55.97","50","129.45","Worsening"
"Brazil",2017,"Tap","Chlorination","1761.13","77.39","75","159.78","Improving"
"Brazil",2018,"Tap","Chlorination","2367.13","82.95","40","159.28","Stable"
"Brazil",2020,"Tap","Chlorination","1457.29","54.61","35","140.04","Worsening"
"Brazil",2021,"Tap","Chlorination","2464.43","66.02","70","141.38","Improving"
"Brazil",2023,"Tap","Chlorination","2386.73","53.78","75","129.91","Worsening"
"Brazil",2000,"Tap","Filtration","2661.20","66.79","50","140.18","N/A"
"Brazil",2001,"Tap","Filtration","2610.25","79.02","40","152.92","Improving"
"Brazil",2003,"Tap","Filtration","3318.38","34.58","40","101.40","Worsening"
"Brazil",2005,"Tap","Filtration","2250.78","39.31","45","116.80","Improving"
"Brazil",2007,"Tap","Filtration","2233.75","75.09","80","152.75","Improving"
"Brazil",2010,"Tap","Filtration","2625.50","98.19","40","171.94","Improving"
"Brazil",2011,"Tap","Filtration","3076.94","44.83","160","114.06","Worsening"
"Brazil",2015,"Tap","Filtration","2552.21","48.45","70","122.93","Improving"
"Brazil",2016,"Tap","Filtration","2063.14","60.94","110","140.31","Improving"
"Brazil",2020,"Tap","Filtration","1457.29","66.21","35","151.64","Improving"
"Brazil",2021,"Tap","Filtration","2464.43","62.87","70","138.23","Worsening"
"Brazil",2022,"Tap","Filtration","2462.95","80.13","100","155.50","Improving"
"Brazil",2023,"Tap","Filtration","2386.73","95.60","75","171.73","Improving"
"Brazil",2000,"Well","Boiling","2661.20","36.21","50","109.60","N/A"
"Brazil",2003,"Well","Boiling","3318.38","90.84","40","157.66","Improving"
"Brazil",2004,"Well","Boiling","2376.83","35.30","60","111.53","Worsening"
"Brazil",2011,"Well","Boiling","3076.94","74.93","160","144.16","Improving"
"Brazil",2012,"Well","Boiling","2011.13","93.10","80","172.99","Improving"
"Brazil",2013,"Well","Boiling","2437.73","96.36","55","171.98","Worsening"
"Brazil",2016,"Well","Boiling","2063.14","71.53","110","150.90","Worsening"
"Brazil",2017,"Well","Boiling","1761.13","75.96","150","158.35","Improving"
"Brazil",2019,"Well","Boiling","1870.57","65.27","35","146.56","Worsening"
"Brazil",2021,"Well","Boiling","2464.43","83.31","70","158.67","Improving"
"Brazil",2023,"Well","Boiling","2386.73","41.68","75","117.81","Worsening"
"Brazil",2000,"Well","Chlorination","2661.20","65.33","50","138.72","N/A"
"Brazil",2007,"Well","Chlorination","2233.75","73.02","40","150.68","Improving"
"Brazil",2012,"Well","Chlorination","2011.13","78.99","160","158.88","Improving"
"Brazil",2016,"Well","Chlorination","2063.14","61.09","110","140.46","Worsening"
"Brazil",2020,"Well","Chlorination","1457.29","68.85","35","154.28","Improving"
"Brazil",2021,"Well","Chlorination","2464.43","68.65","140","144.01","Worsening"
"Brazil",2022,"Well","Chlorination","2462.95","48.05","100","123.42","Worsening"
"Brazil",2004,"Well","Filtration","2376.83","90.19","60","166.42","N/A"
"Brazil",2013,"Well","Filtration","2437.73","82.79","55","158.41","Worsening"
"Brazil",2014,"Well","Filtration","2652.50","47.05","100","120.53","Worsening"
"Brazil",2016,"Well","Filtration","2063.14","73.80","220","153.17","Improving"
"Brazil",2019,"Well","Filtration","1870.57","98.24","35","179.53","Improving"
"Brazil",2020,"Well","Filtration","1457.29","45.21","70","130.64","Worsening"
"Brazil",2021,"Well","Filtration","2464.43","78.33","70","153.69","Improving"
"Brazil",2022,"Well","Filtration","2462.95","55.33","100","130.70","Worsening"
"Brazil",2023,"Well","Filtration","2386.73","33.89","75","110.02","Worsening"
"China",2001,"Lake","Boiling","2586.22","82.07","45","156.21","N/A"
