"country_name","year","avg_gdp_per_capita","access_to_clean_water_percent"
"China",2013,"55818.93","62.25"
"China",2014,"64738.73","67.22"
"China",2015,"57291.00","69.86"
"China",2016,"53329.33","66.59"
"China",2017,"51434.08","64.54"
"China",2018,"65290.14","67.02"
"China",2019,"43052.71","69.96"
"China",2020,"58378.69","62.91"
"China",2021,"51468.00","74.75"
"China",2022,"41136.90","70.04"
"China",2023,"53968.80","56.62"
"China",2024,"40669.00","72.84"
"Ethiopia",2000,"54616.53","62.54"
"Ethiopia",2001,"40253.27","66.51"
"Ethiopia",2002,"44920.50","58.05"
"Ethiopia",2003,"44657.86","65.96"
"Ethiopia",2004,"56608.83","47.64"
"Ethiopia",2005,"56985.07","64.06"
"Ethiopia",2006,"49306.56","63.31"
"Ethiopia",2007,"46887.89","55.16"
"Ethiopia",2008,"51192.11","61.23"
"Ethiopia",2009,"44857.59","60.69"
"Ethiopia",2010,"58532.54","66.57"
"Ethiopia",2011,"55750.93","70.29"
"Ethiopia",2012,"41308.36","64.46"
"Ethiopia",2013,"61305.88","62.44"
"Ethiopia",2014,"53686.56","74.15"
"Ethiopia",2015,"48314.33","64.41"
"Ethiopia",2016,"67239.22","65.99"
"Ethiopia",2017,"50776.50","66.76"
"Ethiopia",2018,"42272.20","68.58"
"Ethiopia",2019,"56133.13","62.95"
"Ethiopia",2020,"57496.78","61.41"
"Ethiopia",2021,"60153.87","50.53"
"Ethiopia",2022,"59245.20","58.25"
"Ethiopia",2023,"57434.78","80.22"
"Ethiopia",2024,"42904.07","67.85"
"India",2000,"35966.00","71.32"
"India",2001,"43992.00","70.25"
"India",2002,"53774.77","64.25"
"India",2003,"52756.00","78.44"
"India",2004,"54414.69","66.14"
"India",2005,"49865.46","64.56"
"India",2006,"51268.69","61.29"
"India",2007,"27957.80","62.67"
"India",2008,"51444.20","69.05"
"India",2009,"41211.50","65.50"
"India",2010,"51525.15","63.31"
"India",2011,"46109.56","65.85"
"India",2012,"56152.00","54.38"
"India",2013,"58604.38","55.31"
"India",2014,"47352.33","53.60"
"India",2015,"46863.73","65.75"
"India",2016,"52512.27","68.26"
"India",2017,"44456.43","65.17"
"India",2018,"35766.92","73.03"
"India",2019,"51885.18","59.28"
"India",2020,"53072.50","62.84"
"India",2021,"39659.91","68.96"
"India",2022,"43099.54","68.55"
"India",2023,"53894.73","67.80"
"India",2024,"57850.20","67.51"
"Indonesia",2000,"68937.56","61.36"
"Indonesia",2001,"49766.23","70.16"
"Indonesia",2002,"44512.94","67.26"
"Indonesia",2003,"51430.43","72.32"
"Indonesia",2004,"38372.00","64.97"
"Indonesia",2005,"55658.92","61.02"
"Indonesia",2006,"49417.95","67.89"
"Indonesia",2007,"40873.40","56.18"
"Indonesia",2008,"52677.88","64.01"
"Indonesia",2009,"52577.45","71.53"
"Indonesia",2010,"49893.92","69.97"
"Indonesia",2011,"61605.19","67.88"
"Indonesia",2012,"67862.17","54.76"
"Indonesia",2013,"52763.71","66.55"
"Indonesia",2014,"48921.21","65.41"
"Indonesia",2015,"62824.93","62.00"
"Indonesia",2016,"49384.45","63.53"
"Indonesia",2017,"46507.10","68.31"
"Indonesia",2018,"45370.27","63.24"
"Indonesia",2019,"43315.06","62.24"
"Indonesia",2020,"40425.14","63.16"
"Indonesia",2021,"54043.55","75.13"
"Indonesia",2022,"62761.30","59.83"
"Indonesia",2023,"55260.69","70.14"
"Indonesia",2024,"61115.00","61.94"
"Mexico",2000,"44989.93","60.83"
"Mexico",2001,"40022.00","63.78"
"Mexico",2002,"52780.42","64.96"
"Mexico",2003,"47488.67","55.04"
"Mexico",2004,"58818.71","50.97"
"Mexico",2005,"45628.70","68.34"
"Mexico",2006,"48938.89","66.01"
"Mexico",2007,"51347.83","68.46"
"Mexico",2008,"39915.25","62.58"
"Mexico",2009,"47450.87","72.84"
"Mexico",2010,"60905.00","69.36"
"Mexico",2011,"40028.50","59.52"
"Mexico",2012,"55310.33","57.04"
"Mexico",2013,"47490.91","79.22"
"Mexico",2014,"49191.40","63.78"
"Mexico",2015,"52153.88","62.26"
"Mexico",2016,"44854.31","71.19"
"Mexico",2017,"45678.84","68.11"
"Mexico",2018,"58182.22","55.74"
"Mexico",2019,"59378.27","59.64"
"Mexico",2020,"57684.71","65.14"
"Mexico",2021,"47742.00","77.19"
"Mexico",2022,"44856.92","67.82"
"Mexico",2023,"62022.86","68.22"
"Mexico",2024,"42937.67","65.99"
"Nigeria",2000,"43750.38","59.47"
"Nigeria",2001,"48828.89","63.79"
"Nigeria",2002,"46176.18","77.92"
"Nigeria",2003,"43901.14","58.83"
"Nigeria",2004,"53601.83","53.30"
"Nigeria",2005,"52815.80","64.42"
"Nigeria",2006,"46108.55","53.07"
"Nigeria",2007,"45633.11","64.38"
"Nigeria",2008,"44270.80","69.94"
"Nigeria",2009,"41427.18","71.25"
"Nigeria",2010,"72405.82","64.85"
"Nigeria",2011,"44811.06","71.46"
"Nigeria",2012,"52012.67","69.38"
"Nigeria",2013,"53003.27","69.77"
"Nigeria",2014,"37410.07","60.11"
"Nigeria",2015,"43367.93","68.01"
"Nigeria",2016,"52396.21","62.03"
"Nigeria",2017,"45418.94","59.25"
"Nigeria",2018,"39512.33","63.65"
"Nigeria",2019,"49792.81","64.05"
"Nigeria",2020,"60502.88","63.60"
"Nigeria",2021,"56212.91","59.35"
"Nigeria",2022,"56246.13","59.17"
"Nigeria",2023,"55360.44","67.08"
"Nigeria",2024,"50175.94","58.26"
"Pakistan",2000,"45680.78","58.11"
"Pakistan",2001,"39458.27","55.73"
"Pakistan",2002,"52093.69","61.86"
"Pakistan",2003,"43198.40","65.07"
"Pakistan",2004,"50126.50","64.49"
"Pakistan",2005,"73336.73","61.44"
"Pakistan",2006,"51625.33","72.85"
"Pakistan",2007,"53954.17","59.31"
"Pakistan",2008,"53226.13","64.70"
"Pakistan",2009,"62327.67","66.78"
"Pakistan",2010,"65218.36","63.07"
"Pakistan",2011,"38679.36","66.48"
"Pakistan",2012,"60623.75","58.08"
"Pakistan",2013,"39688.67","61.52"
"Pakistan",2014,"47520.11","54.09"
"Pakistan",2015,"48599.38","59.65"
"Pakistan",2016,"41771.87","60.14"
"Pakistan",2017,"45125.46","68.70"
"Pakistan",2018,"55220.67","57.48"
"Pakistan",2019,"40044.25","63.02"
"Pakistan",2020,"47234.00","68.49"
"Pakistan",2021,"70379.00","69.19"
"Pakistan",2022,"51715.45","63.61"
"Pakistan",2023,"45550.36","69.33"
"Pakistan",2024,"59563.53","72.76"
"USA",2000,"64216.91","58.31"
"USA",2001,"45120.25","70.88"
"USA",2002,"61962.78","53.83"
"USA",2003,"35452.67","69.70"
"USA",2004,"37288.47","56.82"
"USA",2005,"41253.55","70.99"
"USA",2006,"45939.75","54.35"
"USA",2007,"55209.00","76.96"
"USA",2008,"54401.73","71.73"
"USA",2009,"58260.09","67.84"
"USA",2010,"42149.67","76.36"
"USA",2011,"56525.50","68.36"
"USA",2012,"41629.19","71.03"
"USA",2013,"55987.75","58.44"
"USA",2014,"60490.20","78.12"
"USA",2015,"40764.21","56.59"
"USA",2016,"60074.67","59.39"
"USA",2017,"47039.85","60.57"
"USA",2018,"66990.00","62.72"
"USA",2019,"54986.67","56.44"
"USA",2020,"52796.31","62.55"
"USA",2021,"48879.07","64.61"
"USA",2022,"38812.00","56.55"
"USA",2023,"42361.79","58.97"
"USA",2024,"55955.31","60.09"
