CountryID,Year,pH Level,Turbidity,Dissolved Oxygen,Nitrate Level,Lead Concentration,bacterial_count 
3,2014,8.36,2.49,3.08,13.95,9.66,4456
4,2020,7.29,1.37,8.34,14.74,11.43,1948
8,2005,6.19,3.39,8.18,43.29,18.29,222
4,2018,8.04,0.19,8.81,17.61,0.59,1639
3,2017,8.17,2.84,8.89,22.36,16.03,4422
5,2005,7.6,1.99,6.96,19.04,7.81,1757
10,2012,7.12,4.89,8.46,6.03,14.9,835
10,2000,7.66,2.54,6.45,49.52,18.97,2536
9,2022,7.77,2.76,9.66,41.29,6.13,2525
10,2022,8.23,3.56,4.33,27.05,1.79,984
1,2012,8.39,2.42,9.41,23.82,4.65,1357
10,2006,7.29,1.12,4.81,32.46,4.44,4887
3,2014,8,2.69,3.72,16.32,14.84,3060
9,2011,8.41,4.72,6.07,2.51,1.24,4477
3,2000,6.38,2.05,7.3,20.22,1.02,1446
3,2014,6.05,3.4,4.62,49.2,13.87,1371
6,2003,8.17,4.89,6.89,9.12,11.13,3224
9,2012,6.49,4.15,8.66,26.39,8.36,1874
3,2022,6.11,3.3,4.8,0.43,11.51,2499
6,2024,6.4,3.68,7.06,6.1,14.7,3361
6,2004,6.96,4.68,5.38,29.36,2.07,1142
9,2001,6.55,4.8,6.71,14.87,11.07,4309
4,2022,6.76,4.84,7.67,45.28,16.49,564
5,2000,8.44,3.13,5.45,20.31,7.25,4827
1,2015,7.76,1.92,9.96,10.4,15.26,4534
5,2022,7.78,0.67,6.95,27.28,16.91,1588
10,2005,6.24,1.93,8.77,39.75,16.42,3985
1,2022,7.83,4.71,8.08,0.97,13.01,4724
10,2015,7.85,4.45,8.97,25.28,14.35,4998
3,2013,7.65,2.62,4.22,38.67,15.75,1470
8,2002,6.57,2.69,4.56,5.18,14.67,3914
9,2014,7.06,1.54,6.41,45.14,9.03,3113
1,2002,8.12,2.27,8.97,13.23,3.18,4490
1,2022,7.68,3.57,4.38,8.53,6.19,4342
3,2001,7.83,2.01,9.8,29.46,4.14,3362
4,2000,7.47,0.94,3.89,8.75,7.23,1636
6,2008,7.12,2.7,4.23,33.99,9.79,2912
3,2008,7.9,1.13,4.17,24.51,19.18,1472
7,2022,6.17,4.87,7.1,5.5,19.19,1244
6,2006,7.68,1.95,9.42,45.62,15.39,3737
9,2002,8.49,4.55,4.79,33.66,19.6,2098
6,2017,7.95,1.13,6.87,27.3,19.96,2597
4,2010,6.73,0.95,4.23,18.72,17.71,2512
6,2006,6.69,3.08,7.42,6.74,1.59,4514
9,2008,7.67,3.9,3.86,35.38,8.52,258
4,2000,8.24,2.83,6.44,40.68,10.68,2358
5,2013,7.44,1.15,7.59,6.29,2.48,3393
1,2019,7.32,0.19,7.05,24.73,16.17,3778
1,2005,6.4,3.09,3.98,24.24,2.97,3411
10,2006,7.79,0.66,4.13,17.5,7.67,1268
5,2009,7.76,1.72,7.7,39.47,1.38,939
5,2006,8.42,3.38,8.66,4.98,10.49,2376
6,2001,6.75,0.49,9.36,10.25,11.94,3951
1,2003,7.89,0.64,8.7,0.08,14.7,195
9,2020,7.09,0.31,9.82,18.65,6.79,4157
2,2016,7.4,4.98,5.86,14.56,11.81,3096
2,2000,8.04,1.94,5.32,43.35,14.68,3635
4,2009,6.55,4.53,3.2,37.29,15.24,561
1,2018,6.86,1.47,6.15,4.22,6.03,3449
1,2014,7.93,3.77,7.56,37.05,1.35,3366
2,2009,7.43,1.1,8.71,33.77,0.75,3123
1,2018,6.23,2.49,4.87,14.09,15.36,2891
6,2011,7.08,4.12,6.6,0.77,7.71,39
7,2023,7.47,4.08,7.63,5.76,2.68,1767
8,2015,8.27,3.97,6.86,12.5,3.69,2504
5,2008,6.47,4.12,4.92,40.83,15.32,787
10,2014,8.01,1.06,8.57,23.27,11.98,1876
4,2016,6.33,2.41,4.21,45.92,10.03,4097
7,2013,6.61,2.42,9.33,39.46,12.46,1492
2,2017,6.61,4.45,9.67,14.36,2.75,1129
5,2001,8.19,1.48,5.56,42.27,6.38,2263
1,2003,6.5,4.66,5.63,5.84,7.48,4872
10,2017,7.97,2.25,8.2,1.81,6.29,4509
1,2006,7.15,3.35,6.19,30.43,17.29,4021
9,2012,8.5,1.34,3.2,17.09,11.63,4305
9,2014,8.1,2.05,9.44,16.47,14.59,2185
10,2024,7.85,3.55,6.02,34.36,4.73,1644
10,2022,8.18,2.56,4.42,42.51,5.28,3560
2,2021,7.59,4.65,6.89,16.11,4.51,2685
10,2000,8.11,3.69,4.53,16.25,13.76,4821
6,2010,6.65,2.82,4.44,26.69,6.98,1412
1,2009,6.24,4.43,6.82,32.66,8.1,1221
7,2024,7.54,3.33,5.74,10.15,14.18,2249
3,2004,7.09,3.24,7.01,45.63,19.44,2239
10,2015,7.07,1.23,9.98,32.72,3.24,4202
4,2010,7.32,1.97,9.01,31.26,1.25,4422
9,2020,6.9,3.42,3.05,45.21,3.9,643
6,2005,7.57,4.46,3.35,45.36,14.7,4452
5,2008,6.08,1.58,7.27,6.78,3.89,2548
3,2012,8.42,1.08,7.38,7.25,11.69,4603
7,2023,8.31,2.97,9.15,38.1,11.81,3805
3,2007,8.34,0.34,7.4,47.84,5.89,4290
10,2013,6.91,3.57,4.59,33.33,1.37,4142
2,2023,7.33,3.52,6.28,20.57,7.98,1385
9,2000,8.39,1.77,8.66,34.17,3.74,2584
9,2016,8.26,4.46,9.46,11.44,3.69,1601
5,2023,7.98,2.51,4.66,49.9,10.45,4942
2,2004,7.02,3.23,6.78,21.55,13.46,4804
1,2024,7.41,1.05,4.11,46.58,1.51,3317
8,2001,7.98,2.09,6.48,21.54,11.57,807
6,2024,6.68,4.31,3.63,46.41,4.92,2659
9,2023,7.57,1.06,9.59,16.78,13.47,114
4,2008,8.07,1.95,7.47,38.03,16.2,2727
9,2003,7.77,1.59,8.98,47.55,16.14,4726
3,2016,7.2,0.76,9.99,32.3,7.4,2266
9,2016,7.46,1.45,4.28,33.88,11.35,4292
9,2020,8.47,1.16,7.86,5.14,15.87,4496
8,2017,7.5,4.62,9.21,23.71,1.22,3901
8,2015,7.96,3.71,7.03,44.34,12.11,2728
7,2007,7.82,1.58,7.48,12.05,16.73,4171
1,2010,7.75,3.82,5.85,39.42,7.45,1449
4,2020,7.79,0.11,7.72,33.79,9.11,4382
9,2020,7.14,2.63,5.77,11.15,13.97,1568
9,2017,7.19,1.25,6.34,14.14,1.36,1322
6,2022,7.17,0.57,3.72,21.38,7.71,860
8,2023,6.08,4.42,3.05,6.26,5.91,741
4,2009,6.6,1,3.39,45.67,0.34,1730
5,2012,6.39,4.11,4.35,36.97,3.92,4904
7,2016,8.22,2.07,6.2,18.25,7.92,2933
1,2017,6.69,0.07,3.15,14.98,3.95,3518
2,2009,6.35,3.66,4.09,34.48,12.05,4509
1,2015,6.3,2.98,8.47,21.21,8.97,4526
3,2019,7.75,1.72,8.34,11.47,0.79,3167
9,2004,6.02,1.41,8.53,21.51,5.5,1918
7,2012,7.18,0.37,9.45,43.56,0.39,2218
3,2017,6.3,4.71,3.83,3.43,7.16,1340
4,2016,8.12,2.47,4.14,18.42,5.18,4639
2,2008,8.4,0.43,5.33,48.12,13.76,1514
8,2013,8.4,4.34,9.41,0.74,6.15,1411
7,2016,7.1,1.39,8.43,44.53,7.5,3036
7,2003,7.61,1.02,5.27,18.74,14.51,4167
9,2017,7.5,1.4,3.61,9.48,9.62,1022
10,2019,6.88,2.82,7.31,0.75,11.13,4627
7,2023,7.11,0.37,4.8,3.53,16.83,2286
6,2023,6.16,2.41,6.72,8.59,4.14,2758
2,2014,7.99,4.48,9.59,1.27,19.78,4672
2,2010,6.6,0.94,7.01,16.79,18,3771
6,2011,7.15,1.66,9.47,2.24,5.73,1112
5,2008,7.2,1.98,5.75,34.61,17.86,1945
6,2012,7.4,2.93,7.43,40.95,15.08,4808
6,2014,8.04,4.6,9.26,44.37,18.62,1558
2,2014,7.73,1.97,7.12,27.46,13.82,3879
1,2004,7.66,0.35,7.3,47.33,13.49,641
2,2022,7.32,1.74,8.01,0.28,0.07,2237
10,2018,6.24,0.95,9.17,6.7,9.49,4907
9,2019,7.01,3.26,3.62,14.66,4.01,3486
3,2024,8.39,0.15,5.36,39.45,6.48,3225
1,2013,8.49,1.46,5.78,44.27,19.58,1014
8,2016,7.83,2.73,9.37,30.91,1.71,2021
3,2017,6.57,1.39,9.69,19.16,14.45,2676
9,2020,6.25,2.75,3.84,33.29,3.46,1540
10,2002,7.04,0.57,3.83,9.04,0.15,2936
10,2001,8.14,4.71,9.54,22.89,10.03,3106
8,2000,7.8,1.45,5.07,25.38,3.22,783
1,2009,8.21,4.62,4.69,5.24,19.31,670
5,2018,7.54,1.63,3.25,1.69,4.07,2769
6,2016,6.33,3.91,4.93,37.51,3.84,2573
1,2011,6.29,1.23,7.85,26.74,0.64,2584
5,2000,6.12,3.35,5.98,16.61,6.6,4942
10,2011,7.42,1.62,6.62,21.86,0.48,1277
2,2016,6.61,2.55,9.42,47.89,9.98,3043
9,2023,7.84,3.37,3.8,19.25,10.11,3172
8,2002,7.72,2.94,3.5,5.17,1.06,3782
9,2010,6.8,2.88,8.96,23.18,4.8,177
4,2016,6.44,0.33,8.42,32.4,16.64,275
4,2022,6.26,1.25,4.85,0.61,9.25,2359
1,2002,7.84,2.86,5.27,16.62,8.69,3481
10,2007,7.13,0.09,5.17,19.68,13.98,4886
10,2019,6.81,1.25,7.53,23.19,14.3,3359
6,2003,8.14,1.15,3.43,15.08,15.24,1424
6,2020,7.48,1.25,6.43,33.35,16.61,4122
6,2021,7.3,2.68,3.94,47.24,4.65,2960
2,2006,7.86,2.91,8.74,45.7,1.33,2469
3,2013,8.04,4.54,5.66,33.22,7.61,3085
7,2013,7.72,1.93,6.69,25.34,17.1,2372
3,2003,7.1,4.63,3.21,41.29,1.56,4068
9,2015,6.95,3.26,3.41,41.8,11.52,1590
3,2023,7.93,4.56,7.73,41.48,14.02,4380
2,2021,7.29,4.17,8.37,7.89,9.63,1112
9,2000,7.76,3.44,7.97,1.27,5.1,1068
3,2016,8.23,1.78,8.16,49.16,6.53,2545
2,2024,8.29,1.21,3.73,47.98,1.43,3649
7,2009,6.69,1.11,7.85,28.22,5.85,1814
3,2021,6.47,4.76,4.27,49.65,0.89,3907
2,2015,6.65,4.79,3.69,38.53,14.53,3731
6,2015,7.88,3.62,8.3,25.87,17.96,2192
10,2007,6.93,4.42,9.23,19.47,12.67,81
6,2006,6.43,4.59,8.02,29.64,13.13,3706
10,2005,6.25,2.56,8.64,25.79,9.44,3176
8,2015,6.82,3.15,9.94,49.69,3.12,1825
8,2019,6.34,2.09,3.94,24.52,0.15,81
8,2015,6.39,2.09,9.76,41.8,6.88,93
7,2006,7.71,0.19,7.21,40.68,15.03,342
6,2008,6.05,2.17,8.69,3.57,19.21,2408
10,2013,6.29,3.37,7.55,4.35,8.62,1854
2,2010,8.11,2.11,6.99,32.99,7.31,3999
9,2013,8.11,4.36,7.93,12.96,8.92,1089
2,2006,6.82,1.66,5.24,32.88,8.56,623
9,2000,6.22,0.66,9.47,7.23,12.52,867
4,2024,7.76,4.06,3.81,19.85,14.68,2476
2,2012,6.9,3.37,5.23,5.12,15.7,3472
3,2019,6.11,1.21,3.22,14.1,12.99,170
3,2002,6.39,2.68,4.9,4.41,8.75,1782
1,2019,6.34,2.01,4.53,48.53,19,577
6,2003,7.47,4.69,3.35,19.75,14.22,67
9,2010,8.25,3.04,6.44,45.06,8.53,1515
9,2001,7.98,0.79,6.28,48.56,8.93,0
6,2013,7.37,2.51,3.54,45.48,16.36,2198
7,2011,7.06,4.31,4.83,22.75,8.81,901
1,2016,7.55,3.36,9.67,38.94,10.33,4845
7,2011,7.11,4.21,3.78,7.68,5.83,794
7,2011,6.62,1.25,5.14,4.74,16.78,2066
7,2000,7.7,4.44,3.25,43.85,10.45,1819
6,2012,8.18,3.78,4.04,1.56,11.05,370
7,2013,6.93,3.64,7.9,48.62,17.61,2538
3,2023,8.1,1.73,5.57,33.61,18.41,3907
8,2001,7.08,4.44,6.16,20.98,16.48,2054
4,2011,7,3.19,4.1,7.07,1.31,2596
9,2020,6.07,4.26,7.77,36.16,8.87,4466
9,2015,7.74,1.8,8.26,28.16,6.87,1688
4,2003,8.02,0.73,4.27,35.56,4.27,4852
6,2007,7.66,1.66,3.31,20.9,18.18,3321
2,2001,6.38,2.28,3.57,3.31,17.8,1138
6,2009,6.26,2.67,7.6,15.75,9.31,2621
9,2008,7.43,2.55,3.95,15.75,2.69,2728
9,2022,7,2.73,6.46,0.43,0.27,1165
4,2014,7.07,4.21,4.07,0.48,8.77,1508
7,2012,8.42,0.85,4.19,16.54,0.8,3841
6,2022,7.81,1.58,3.03,36.38,12.19,4558
10,2016,7.03,4.44,5.25,31.2,12.17,4576
4,2015,6.05,2.8,3.63,11.95,17.98,4918
3,2001,6.09,2.92,5.76,30.14,3.8,523
9,2019,7.71,2.39,7.18,32.37,7.43,2258
4,2019,8.09,2.74,5.57,26.13,17.19,4339
6,2013,7.77,0.99,7.94,26.07,9.49,238
9,2002,7.01,2.73,8.19,18.49,1.19,1220
2,2022,6.08,4.99,7.88,6.17,2.22,768
4,2011,8.42,2.83,9.56,19.27,16.27,234
1,2007,8.47,0.22,4.66,17.27,14.87,2760
9,2001,7.37,3.98,4.33,29.6,17.52,4592
6,2003,6.18,1.98,7.27,42.81,2.38,1519
8,2013,7.35,0.77,7.16,18.77,15.21,1903
10,2015,8.23,4.31,6.57,35.49,13.1,2234
5,2018,7.7,0.99,3.03,40.59,4.65,935
7,2001,7.8,4.6,6.89,10.59,19.48,1268
5,2011,6.21,2.21,9.53,45.08,11.41,818
6,2013,6.27,3.71,5.34,3.52,18.14,3567
3,2005,6.32,2.73,9.77,45.09,17.18,4117
3,2012,8.26,1.28,5.5,8.18,6.66,2115
8,2003,7.31,3.36,3.98,16.86,10.72,2439
7,2021,7.98,4.79,5.79,30.26,8.63,3387
1,2017,6.29,3.85,6.46,45.28,14.18,1088
8,2011,8.32,3.02,7.41,12.79,11.76,1827
5,2019,8.05,4.95,6.53,38.18,15.7,4824
8,2021,6.56,1.33,6.76,35.52,0.24,2588
5,2020,8.19,0.31,3.17,7.99,13.76,2615
9,2018,6.66,0.16,4.78,23.97,6.38,1873
3,2007,6.51,3.55,5.17,24.08,4.48,4307
9,2006,6.66,4.15,9.91,15.23,16.02,1773
10,2015,8.27,3.18,5.07,39,1.78,199
7,2018,8.29,4.53,9.28,46.3,4.57,177
1,2005,6.82,3.49,5.13,35.83,4.07,930
5,2019,7.76,1.85,3.67,48.65,8.4,3736
1,2020,7.69,0.91,4.73,2.52,6.45,2036
5,2010,8.02,4.62,4.91,1.86,14.41,1485
6,2004,6.74,0.52,9.85,44.69,13.99,2091
8,2015,7.28,2.71,7.72,44.89,6.51,4263
10,2006,7.67,1.57,9.52,5.36,8.74,2384
3,2004,6.07,1.36,8.84,17.87,4.16,4088
5,2010,6.94,3.23,7.05,41.77,13.42,4681
1,2014,7.74,1.16,7.73,6.43,7.92,1915
10,2002,6.63,4.58,7.37,13.37,2.66,15
2,2004,8.39,2.03,7.66,34.05,2.55,2934
2,2022,6.08,3.39,4.85,49.09,6.45,836
9,2020,8.4,3.64,5.86,39.86,14.95,2157
3,2004,6.54,3.41,7.15,38.87,0.51,1576
6,2008,6.12,4.52,3.25,17.13,5.16,305
1,2014,6.73,1.16,6.38,33.07,3.25,2053
8,2002,7.97,0.43,9.02,5.65,19.13,2890
8,2005,7.88,0.28,6.45,49.61,14.11,3344
1,2016,6.52,4.39,6.87,24.03,4.66,4456
7,2020,6.49,4.87,4.41,31.94,4.15,1208
6,2007,7.61,1.51,8.56,43.81,17.16,1858
10,2020,7.15,3.47,5.51,0.05,3.8,2703
5,2024,7.98,0.04,9.7,48.8,19.94,1971
7,2010,6.06,0.94,9.96,17.96,5.65,1113
5,2005,7.53,3.45,9.41,16.98,1.69,983
5,2007,7.83,0.33,3.59,7.25,13.82,3310
7,2009,8.48,2.34,5.33,42.91,12.19,4001
9,2023,7.7,3.31,9.62,43.54,20,2771
2,2002,6.58,3.83,8.63,1,16.04,3152
5,2022,6.27,2.27,9.38,2.79,8.58,2162
7,2013,7.6,3.15,7.01,45.92,13.53,2127
7,2022,7.31,2.7,6.36,6.14,16.36,3639
4,2013,8.25,0.26,3.75,31.05,10.27,4274
9,2009,7.82,3.71,8.88,30.98,5.46,560
3,2011,7.27,0.86,8.22,43.49,4.2,1809
4,2005,7.01,0.16,3.41,28.63,5.91,4387
4,2011,7.01,2.26,4.47,21.7,16.96,2932
1,2022,6.57,4.33,6.9,48.72,7.61,290
2,2013,6.04,0.75,7.79,11.44,5.73,4637
7,2001,7.44,0.06,3.96,13.14,16.12,1909
2,2008,6.53,0.55,4.71,4.24,0.64,4689
6,2009,6.52,1.82,4.35,48.77,11.88,1428
1,2016,6.31,2.9,4.54,35.32,17.47,947
3,2016,6.47,0.97,9.44,0.6,8.2,2527
2,2002,6.08,4.01,8.01,35.22,5.39,1348
8,2018,7.69,3.77,8.16,20.21,9.83,380
5,2000,7,3.48,8.56,48.38,14.35,1704
6,2011,7.4,2.44,5.5,13.87,10.33,309
9,2006,7.59,1.83,8.37,35.51,0.15,3414
3,2003,8.43,1.88,9.85,31.37,1.57,1498
6,2009,6.17,2.52,7.89,0.6,14.43,2894
5,2012,7.04,0.39,5.92,44.26,8,660
1,2001,6.61,3.41,8.01,6.98,15.7,3447
5,2009,7.19,1.76,9.31,33.18,12.99,2273
4,2020,8.3,1.12,3.9,38.78,11.63,1497
5,2021,7.81,1.39,4.86,31.55,18.03,2072
4,2024,7.65,0.9,9.44,4.86,0.43,3436
1,2003,7.1,4.51,9.62,48.76,3.1,2142
10,2017,7.68,0.85,6.39,11.84,12.49,4660
4,2004,6.08,4.41,5.62,31.39,1.32,1605
9,2018,7.47,2.86,4.98,39.86,12.9,4739
5,2001,7.38,4.34,6.49,46.96,19.68,1431
5,2011,6.87,2.37,9.54,30.2,17.58,1950
9,2016,6.5,4.64,4.05,12.95,11.82,3922
8,2009,8.02,1.06,5.94,41.83,17.88,458
7,2001,6.13,2.77,9.38,8.16,2.33,2948
10,2005,6.17,0.63,5.44,1.11,9.09,337
3,2007,7.1,2.24,8.38,45.41,8.57,3943
4,2018,6.63,2.85,5.72,28.77,6.73,2013
9,2010,7.86,3.03,8.63,3.48,0,4020
1,2024,7.59,1.83,9.87,28.99,17.82,344
4,2011,7.93,0.38,5.71,7.25,15.55,4671
7,2008,6.81,3.28,8.92,1.57,13.06,942
1,2001,7.85,2.44,9.92,5.83,2.58,345
6,2007,8.16,0.68,9.89,38.76,7.56,3894
5,2010,6.86,4.68,6.04,37.78,18.49,3319
6,2020,6.85,4.78,6.4,30.22,12.34,3695
4,2003,8.25,4.28,5.12,10.47,12.07,324
7,2009,6.12,4.22,5.2,36.95,18.26,2138
10,2020,6.88,0.49,6.45,20.4,11.2,4389
4,2019,6.3,4.97,4.4,25.54,11.95,3612
9,2015,6.07,2,7.98,44.88,6.91,523
2,2007,6.28,0.82,6.75,22.89,7.43,2897
4,2003,7.08,4.06,9.29,31.32,13.71,3740
5,2009,7.72,1.13,8.67,48.09,6.41,258
5,2011,6.72,2.63,5.26,22.57,11.18,1110
4,2013,8.12,0.64,6.54,28.04,5.58,820
1,2015,7.09,2.37,8.25,29.22,3.32,2788
2,2021,8.42,2.79,4.35,12.04,9.09,4664
9,2017,8.39,2.23,3.22,36.85,4.35,4604
4,2020,7.93,0.35,8.97,36.33,17.97,1563
1,2021,8.33,2.42,3.96,10.68,6.07,4620
5,2020,7.77,2.34,9.23,0.67,11.95,1207
5,2011,8.24,1.31,9.4,49.95,5.27,308
7,2017,6.59,4.61,6.22,29.08,5.16,1839
4,2006,6.86,2.09,8.65,9.05,7.01,3352
2,2019,7.88,4.32,5.54,14.18,18.32,1383
8,2023,7.06,0.55,9.01,30.89,7.83,2306
2,2022,8.09,1.59,8.77,6.88,16.43,1180
5,2006,8.19,0.88,3.55,1.86,3.95,2472
5,2008,6.75,2.04,7.08,39.92,0.96,2686
6,2000,8.06,0.56,7.48,35.79,15.63,2967
5,2005,6.39,2.21,3.01,15.48,10.84,4445
9,2005,6.84,1.77,9.86,2.92,10.07,960
3,2021,7.29,1.12,5.85,24.31,5.44,3456
4,2011,6.57,3.21,6.62,13.81,1.45,437
2,2021,7.45,4.75,4.36,19.89,9.66,455
3,2011,7.45,1.04,7.28,13.7,17.34,3817
1,2009,6.52,3.56,8.67,8.76,2.4,1569
8,2022,7.99,3.71,7.1,19.35,18.58,1103
9,2005,7.58,2.49,8.52,48.24,5.49,1618
2,2016,6.79,4.49,8.12,13.31,10.64,3612
3,2018,6.58,4.83,4.66,16.8,1.33,1512
8,2017,8.2,1.81,6.05,16.46,8.5,4738
6,2005,8.09,3.26,4.04,24.01,2.52,391
9,2023,6.57,3.31,3.29,42.18,0.96,2621
9,2018,6.09,2.02,3.44,20.11,19.33,920
6,2009,8.01,1.58,9.6,40.31,14.6,2457
4,2023,7.54,4.67,9.89,5.75,14.38,3600
6,2007,6.25,3.95,3.66,44.75,1.81,4508
9,2020,7.47,0.57,5.35,9.27,18.59,1788
9,2023,7.13,0.6,3.8,1.96,9.39,260
3,2005,7.94,4.61,8.84,7.92,17.05,2013
5,2020,6.52,0.41,6.47,9.54,0.25,1335
8,2024,7.13,3.44,7.35,25.43,5.96,334
6,2006,6.39,1.13,6.78,22.5,19.92,2779
8,2023,8.39,0.18,7.97,35.79,8.56,803
6,2000,7.95,0.3,5.23,2.55,17.77,2437
1,2017,7.84,1.87,3.96,24.89,6.56,2807
9,2023,7.73,0.39,3.12,16.62,10.51,940
5,2024,7.06,2.98,6.12,31.54,17.08,3163
3,2019,8.31,3.24,9.35,2.18,12.12,902
5,2011,6.18,1.87,5.14,1.75,14.5,3432
5,2015,8.01,3.71,4.37,21.36,4.58,1268
5,2009,6.54,2.45,9.48,40.57,3.12,23
8,2009,6.81,2.15,3.74,33.55,4.61,4652
6,2013,7.3,2.03,3.36,0.84,9.86,2748
10,2024,7.96,2.16,9.16,8.92,16.02,2450
1,2019,8.1,4.84,7.91,11.34,7.08,1396
2,2009,7.46,3.41,5.95,21.15,11.3,3357
5,2009,7.01,1.58,8.27,29.34,16.1,3904
4,2024,8.37,3.67,8.19,10.82,4.78,2488
8,2010,6.62,1.65,3.28,19.13,17.66,3666
3,2022,8.01,0.63,7.73,29.2,19.06,1757
2,2001,7.53,2.38,7.49,19.17,0.78,4977
10,2024,6.94,3.76,9.75,7.16,1.18,1878
4,2019,6,1.89,9.77,24.58,1.82,2532
10,2007,7.12,4.35,5.64,16.2,15.54,3514
2,2022,6.69,1.93,7.13,43.21,3.79,3773
5,2006,6.26,1.75,3.99,38.78,14.51,2078
4,2007,6.19,4.99,3.47,9.51,8.83,4661
10,2000,6.87,2.41,6.03,7.63,16.73,2057
3,2020,7.54,4.03,7.83,17.38,16.17,677
6,2001,8.09,4.02,6.97,20.61,19.19,4946
9,2017,6.46,4.63,6.01,46.6,5.02,2974
6,2014,7.06,0.42,8.73,15.08,4.58,284
2,2000,6.98,1.36,8.56,43.38,0.63,2200
8,2004,7.28,3.84,8.12,25.27,8.21,4466
9,2001,8.02,2.81,3.54,44.28,9.18,1840
1,2019,7.38,2.8,8.58,35.1,19.29,1878
3,2002,8.12,0.83,9.44,35.42,16.62,1610
1,2018,7.3,1.41,3.42,25.94,3.34,3962
4,2017,7.51,2.61,5.81,42.02,15.97,4236
9,2021,7.09,1.39,9.92,12.72,3.57,3159
1,2017,8.06,1.05,7.19,45.37,1.56,3498
1,2013,8.31,0.44,6.6,31.84,16.74,2131
10,2023,7.6,0.78,4.24,21.94,19.52,3314
6,2007,8.05,3.84,6.96,49.11,1.76,1378
